## L1Farm (2025)
# Subset AF-L1 Caucasian (BC)

## L1Farm site:
# https://github.com/ferrasa/l1farm/

## Reference:
# A comprehensive identification and annotation of mobile LINE-1 retrotransposons across human reference and personal genomes. (Unpublished)

## Genome Assembly:
# Diploid genome sequence of Dr J. Craig Venter - HuRef+HuRefPrime including unplaced scaffolds shorter than 3 Kbp (GCA_000252825.1).

## Columns description:
# (01)	Chromosome name. 
# (02)	Starting position of the feature in the chromosome.
# (03)	Ending position of the feature in the chromosome.
# (04)	Name of the L1 subfamily.
# (05)	Name of the L1 subfamily region.
# (06)	Strand.
# (07)	Number of mismatches (in bp).
# (08)	Number of deletions (in bp).
# (09)	Number of insertions (in bp).
# (10)	Locus length (in bp).
# (11)	Sequence identity (0.70 - 1.00) or (0.99 - 1.00).
# (12)	Sequence similarity (0.90 - 1.00).

CM000472.1	74685922	74691928	L1HS	.	-	19	1	14	6006	0.996843	0.99784
CM000464.1	113454495	113460512	L1HS	.	+	22	2	4	6017	0.996345	0.999668
CM000496.1	2290463	2296483	L1HS	.	-	28	1	0	6020	0.995348	0.999834
CM000512.1	12024107	12030127	L1HS	.	+	28	1	0	6020	0.995348	0.999834
CM000496.1	126900687	126906706	L1HS	.	+	27	1	1	6019	0.995514	1
CM000467.1	126900774	126906793	L1HS	.	+	27	1	1	6019	0.995514	1
CM000471.1	100769086	100775097	L1HS	.	-	22	0	8	6011	0.996345	0.998671
CM000492.1	189623410	189629430	L1HS	.	+	29	1	0	6020	0.995182	0.999834
CM000463.1	189623130	189629150	L1HS	.	+	29	1	0	6020	0.995182	0.999834
CM000501.1	36275737	36281754	L1HS	.	-	26	1	3	6017	0.99568	0.999668
CM000472.1	36275956	36281973	L1HS	.	-	26	1	3	6017	0.99568	0.999668
CM000497.1	65841001	65847018	L1HS	.	+	26	1	3	6017	0.99568	0.999668
CM000468.1	65840609	65846626	L1HS	.	+	26	1	3	6017	0.99568	0.999668
CM000466.1	150582182	150588205	L1HS	.	-	28	4	0	6023	0.995348	0.999335
CM000504.1	11271433	11277449	L1HS	.	-	27	1	4	6016	0.995514	0.999502
CM000491.1	65653130	65659146	L1HS	.	-	24	3	6	6016	0.996013	0.999502
CM000462.1	65653252	65659268	L1HS	.	-	24	3	6	6016	0.996013	0.999502
CM000510.1	23368307	23374323	L1HS	.	+	27	2	5	6016	0.995514	0.999502
CM000481.1	23368392	23374408	L1HS	.	+	27	2	5	6016	0.995514	0.999502
CM000492.1	170707982	170714003	L1HS	.	+	29	3	1	6021	0.995182	0.999668
CM000463.1	170708150	170714171	L1HS	.	+	29	3	1	6021	0.995182	0.999668
CM000502.1	3464098	3470118	L1HS	.	-	31	2	1	6020	0.99485	0.999834
CM000475.1	43750283	43756301	L1HS	.	-	30	2	3	6018	0.995016	0.999834
CM000500.1	100768978	100774989	L1HS	.	-	27	0	8	6011	0.995514	0.998671
CM000462.1	167430179	167436199	L1HS	.	-	34	1	0	6020	0.994351	0.999834
CM000504.1	43750157	43756175	L1HS	.	-	31	2	3	6018	0.99485	0.999834
CM000463.1	122476371	122482388	L1HS	.	-	29	2	4	6017	0.995182	0.999668
CM000467.1	70896825	70902844	L1HS	.	-	34	1	1	6019	0.994351	1
CM000492.1	136609736	136615755	L1HS	.	+	34	1	1	6019	0.994351	1
CM000475.1	51182676	51188695	L1HS	.	+	34	1	1	6019	0.994351	1
CM000463.1	136609699	136615718	L1HS	.	+	34	1	1	6019	0.994351	1
CM000473.1	3464196	3470216	L1HS	.	-	33	2	1	6020	0.994517	0.999834
CM000493.1	100647092	100653112	L1HS	.	-	36	1	0	6020	0.994019	0.999834
CM000491.1	167429222	167435242	L1HS	.	-	36	1	0	6020	0.994019	0.999834
CM000464.1	100646842	100652862	L1HS	.	-	36	1	0	6020	0.994019	0.999834
CM000494.1	58713888	58719909	L1HS	.	-	35	2	0	6021	0.994185	0.999668
CM000496.1	19709921	19715936	L1HS	.	+	33	1	5	6015	0.994517	0.999335
CM000475.1	11271582	11277598	L1HS	.	-	33	1	4	6016	0.994517	0.999502
CM000492.1	122476545	122482564	L1HS	.	-	31	3	3	6019	0.99485	1
CM000499.1	82780355	82786374	L1HS	.	+	33	2	2	6019	0.994517	1
CM000463.1	16549842	16555859	L1HS	.	-	33	2	4	6017	0.994517	0.999668
CM000465.1	58713603	58719624	L1HS	.	-	36	2	0	6021	0.994019	0.999668
CM000496.1	70896945	70902964	L1HS	.	-	36	1	1	6019	0.994019	1
CM000491.1	207693890	207699909	L1HS	.	+	36	1	1	6019	0.994019	1
CM000467.1	19709563	19715578	L1HS	.	+	34	1	5	6015	0.994351	0.999335
CM000464.1	26384099	26390116	L1HS	.	-	37	0	2	6017	0.993853	0.999668
CM000471.1	33519459	33525477	L1HS	.	-	36	1	2	6018	0.994019	0.999834
CM000492.1	96947543	96953563	L1HS	.	-	38	1	0	6020	0.993687	0.999834
CM000463.1	96947223	96953243	L1HS	.	-	38	1	0	6020	0.993687	0.999834
CM000470.1	82781046	82787065	L1HS	.	+	34	2	2	6019	0.994351	1
CM000501.1	78163264	78169282	L1HS	.	+	35	2	3	6018	0.994185	0.999834
CM000472.1	78163979	78169997	L1HS	.	+	35	2	3	6018	0.994185	0.999834
CM000493.1	26384032	26390048	L1HS	.	-	37	0	3	6016	0.993853	0.999502
CM000502.1	41530561	41536578	L1HS	.	-	36	1	3	6017	0.994019	0.999668
CM000492.1	16549834	16555851	L1HS	.	-	35	2	4	6017	0.994185	0.999668
CM000472.1	121348072	121354093	L1HS	.	+	35	4	2	6021	0.994185	0.999668
CM000493.1	46867350	46873371	L1HS	.	-	38	2	0	6021	0.993687	0.999668
CM000464.1	46867401	46873422	L1HS	.	-	38	2	0	6021	0.993687	0.999668
CM000495.1	74282956	74288971	L1HS	.	-	36	1	5	6015	0.994019	0.999335
CM000500.1	80961024	80967043	L1HS	.	+	38	1	1	6019	0.993687	1
CM000462.1	207694863	207700882	L1HS	.	+	38	1	1	6019	0.993687	1
CM000507.1	63933153	63939173	L1HS	.	-	40	1	0	6020	0.993354	0.999834
CM000504.1	41685333	41691353	L1HS	.	-	40	1	0	6020	0.993354	0.999834
CM000497.1	141618642	141624662	L1HS	.	-	40	1	0	6020	0.993354	0.999834
CM000478.1	63933284	63939304	L1HS	.	-	40	1	0	6020	0.993354	0.999834
CM000475.1	41685225	41691245	L1HS	.	-	40	1	0	6020	0.993354	0.999834
CM000500.1	33519807	33525826	L1HS	.	-	37	2	2	6019	0.993853	1
CM000495.1	161494736	161500761	L1HS	.	-	34	8	2	6025	0.994351	0.999003
CM000466.1	74282669	74288684	L1HS	.	-	37	1	5	6015	0.993853	0.999335
CM000471.1	80961346	80967365	L1HS	.	+	39	1	1	6019	0.993521	1
CM000466.1	161494436	161500458	L1HS	.	-	32	8	5	6022	0.994684	0.999502
CM000476.1	28539348	28545368	L1HS	.	-	37	3	2	6020	0.993853	0.999834
CM000473.1	41530377	41536399	L1HS	.	-	36	5	2	6022	0.994019	0.999502
CM000494.1	22960927	22966949	L1HS	.	+	39	3	0	6022	0.993521	0.999502
CM000465.1	166191438	166197458	L1HS	.	-	41	1	0	6020	0.993188	0.999834
CM000501.1	121347069	121353090	L1HS	.	+	37	4	2	6021	0.993853	0.999668
CM000505.1	60383514	60389533	L1HS	.	-	40	1	1	6019	0.993354	1
CM000476.1	60383429	60389448	L1HS	.	-	40	1	1	6019	0.993354	1
CM000491.1	84324390	84330409	L1HS	.	+	40	1	1	6019	0.993354	1
CM000462.1	84325146	84331165	L1HS	.	+	40	1	1	6019	0.993354	1
CM000505.1	28539621	28545641	L1HS	.	-	38	3	2	6020	0.993687	0.999834
CM000494.1	166192663	166198683	L1HS	.	-	42	1	0	6020	0.993022	0.999834
CM000491.1	158547085	158553104	L1HS	.	-	39	2	2	6019	0.993521	1
CM000497.1	104716136	104722147	L1HS	.	-	37	1	9	6011	0.993853	0.998671
CM000504.1	51182456	51188475	L1HS	.	+	41	1	1	6019	0.993188	1
CM000468.1	105971048	105977066	L1HS	.	+	39	2	3	6018	0.993521	0.999834
CM000466.1	141135875	141141899	L1HS	.	+	40	5	0	6024	0.993354	0.999169
CM000508.1	32259117	32265137	L1HS	.	+	43	1	0	6020	0.992856	0.999834
CM000462.1	33149035	33155054	L1HS	.	-	40	2	2	6019	0.993354	1
CM000497.1	102192095	102198112	L1HS	.	+	40	1	3	6017	0.993354	0.999668
CM000468.1	102191497	102197514	L1HS	.	+	40	1	3	6017	0.993354	0.999668
CM000496.1	110599757	110605784	L1HS	.	+	37	9	1	6027	0.993853	0.998671
CM000468.1	104715595	104721606	L1HS	.	-	38	1	9	6011	0.993687	0.998671
CM000499.1	66552013	66558029	L1HS	.	-	39	1	4	6016	0.993521	0.999502
CM000497.1	105971631	105977649	L1HS	.	+	40	2	3	6018	0.993354	0.999834
CM000477.1	39962868	39968882	L1HS	.	+	39	1	6	6014	0.993521	0.999169
CM000508.1	44724660	44730678	L1HS	.	-	42	1	2	6018	0.993022	0.999834
CM000501.1	104972871	104978891	L1HS	.	-	44	1	0	6020	0.99269	0.999834
CM000500.1	101167624	101173644	L1HS	.	-	44	1	0	6020	0.99269	0.999834
CM000472.1	104973706	104979726	L1HS	.	-	44	1	0	6020	0.99269	0.999834
CM000471.1	101167729	101173749	L1HS	.	-	44	1	0	6020	0.99269	0.999834
CM000505.1	64166110	64172130	L1HS	.	+	44	1	0	6020	0.99269	0.999834
CM000465.1	76373489	76379509	L1HS	.	+	44	1	0	6020	0.99269	0.999834
CM000494.1	55853645	55859664	L1HS	.	+	41	2	2	6019	0.993188	1
CM000495.1	141135976	141142001	L1HS	.	+	40	6	0	6025	0.993354	0.999003
CM000508.1	70243314	70249332	L1HS	.	+	39	2	3	6018	0.993521	0.999834
CM000479.1	70243685	70249703	L1HS	.	+	39	2	3	6018	0.993521	0.999834
CM000465.1	95250886	95256902	L1HS	.	-	39	2	5	6016	0.993521	0.999502
CM000508.1	65132987	65138999	L1HS	.	-	34	1	8	6012	0.994351	0.998837
CM000507.1	59983986	59989990	L1HS	.	-	36	1	16	6004	0.994019	0.997508
